arXiv:1805.07272, Title: Fast Multivariate Log-Concave Density Estimation
arXiv:1805.07300, Title: Multitaper Spectral Estimation HDP-HMMs for EEG Sleep Inference
arXiv:1805.07301, Title: Predictive Modeling of Multivariate Longitudinal Insurance Claims Using  Pair Copula Construction
arXiv:1805.07337, Title: Reconstruction of training samples from loss functions
arXiv:1805.07346, Title: Accurate Kernel Learning for Linear Gaussian Markov Processes using a  Scalable Likelihood Computation
arXiv:1805.07376, Title: Modeling trend in temperature volatility using generalized LASSO
arXiv:1805.07395, Title: More green space is related to less antidepressant prescription rates in  the Netherlands: A Bayesian geoadditive quantile regression approach
arXiv:1805.07410, Title: Learning to Collaborate for User-Controlled Privacy
arXiv:1805.07412, Title: Wasserstein Coresets for Lipschitz Costs
arXiv:1805.07413, Title: Assessing Health Care Interventions via an Interrupted Time Series  Model: Study Power and Design Considerations
arXiv:1805.07418, Title: Sequential Learning of Principal Curves: Summarizing Data Streams on the  Fly
arXiv:1805.07423, Title: Efficient simulation of Gaussian Markov random fields by Chebyshev  polynomial approximation
arXiv:1805.07427, Title: Method G: Uncertainty Quantification for Distributed Data Problems using  Generalized Fiducial Inference
arXiv:1805.07438, Title: Region-Based Classification of PolSAR Data Using Radial Basis Kernel  Functions With Stochastic Distances
arXiv:1805.07445, Title: DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors
arXiv:1805.07454, Title: Model Inference with Stein Density Ratio Estimation
arXiv:1805.07458, Title: PG-TS: Improved Thompson Sampling for Logistic Contextual Bandits
arXiv:1805.07460, Title: Fast Kernel Approximations for Latent Force Models and Convolved  Multiple-Output Gaussian processes
arXiv:1805.07465, Title: Using permutations to detect, quantify and correct for confounding in  machine learning predictions
arXiv:1805.07474, Title: Projection-Free Bandit Convex Optimization
arXiv:1805.07489, Title: Contour location via entropy reduction leveraging multiple information  sources
arXiv:1805.07495, Title: M-estimation with the Trimmed l1 Penalty
arXiv:1805.07516, Title: Estimation of Non-Normalized Mixture Models and Clustering Using Deep  Representation
arXiv:1805.07517, Title: Integral representation of shallow neural network that attains the  global minimum
arXiv:1805.07544, Title: Conditional Network Embeddings
arXiv:1805.07574, Title: Chief complaint classification with recurrent neural networks
arXiv:1805.07575, Title: Sequential adaptive elastic net approach for single-snapshot source  localization
arXiv:1805.07580, Title: Analytic moment and Laplace transform formulae for the quasi-stationary  distribution of the Shiryaev diffusion on an interval
arXiv:1805.07594, Title: Generalizing Point Embeddings using the Wasserstein Space of Elliptical  Distributions
arXiv:1805.07601, Title: Deep Generative Markov State Models
arXiv:1805.07616, Title: Do Neural Network Cross-Modal Mappings Really Bridge Modalities?
arXiv:1805.07622, Title: Bayesian Bootstrap Inference for the ROC Surface
arXiv:1805.07633, Title: Heterogeneous Multi-output Gaussian Process Prediction
arXiv:1805.07654, Title: Sampling-Free Variational Inference of Bayesian Neural Nets
